,Subject,Content
0,Re: Chris,Thx
1,Meet The Right Wing Extremist Behind Anti-Muslim Film That Sparked Deadly Riots,Pis print H PM Russorv state gov Fw Meet The Right Wing Extremist Behind Anti fvluslim Film That Sparked Deadly Riots From meat Sent PM To Subject Meet The Right Wing Extremist Behind Anti Muslim Film That Sparked Deadly Riots htte maxbiumenthal com meet the right wing extremist behind anti musiim tihn that sparked deadly riots Sent from my Verizon Wireless G LTE DROID U S Department of State Case No F Doc No C Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE CB
2,FVV: Secretary's remarks,FYI
3,more on Libya,B PM Fwd more on libya Libya sept docx Sending direct Just in Sent from my Verizon Wireless G LTE DRUID
4,AbZ and Hb3 on Libya and West Bank/Gaza,Fyi B
5,hey,Fyi
6,RE: Not a dry eye in NEA,From Randolph Lawrence M Sent PM To D Subject RE Not a dry eye in NEA Including mine Her remarks were really moving Chriswas an amazing man Such a huge loss You know I was in Libya before coming here and in my almost ten years I have never worked with such a calm cool headed funny diplomat Made it all seem really easy even in one of the hardest places to work in the world
7,Fw: The Youth of Libya,Hope See picture below Kamala sent
8,Fw: One More Photo,Another photo
9,Fw: S today,This is nice
10,Fwd: more on libya,H hrod clintonernaii com PM esullivanjj state gov Fw Fwd more on libya Libya sept docx We should get this around asap
11,Fwd: more on libya,Pis print H hrod clintoriernail PM Russont state gov Fw Fwd more on libya Libya sept dacx
12,Fw: H: Magariaf on attack on US in Libya. Sid,Pis print
13,Fw: H: Magariaf on attack on US in Libya. Sid,Follow Up Flag Follow up Flag Status Flagged More info
14,Re: Proposed Quad Deal,B
15,Re: Fwd: more on libya,Will do
16,Fw: Amb,Remind me to discuss
